college_name,college_address,college_phone
99 Institute of Beauty and Wellness,"SCO 193, 194 and 195, Sector 34-A, Near Sham Fashion Mall, Opposite Petrol PumpChandigarh, Chandigarh  , India","  (0172) 5033499 9317888999, 7307888111"
Academy of Applied Arts,"SCO 7, Sector 17-EChandigarh, Chandigarh 160017 , India",  (0172) 4605509 9815006004
Academy of Broadcasting,"Corporate Office:- # 1278, Level I, Sector 21-BChandigarh, Chandigarh 160021 , India",  (0172) 4605986 9501101050
Achievers Perfect Career Institute,"SCO 158-159, First Floor, Sector 34-AChandigarh, Chandigarh 160034 , India","  (0172) 4668686 9041077386, 8528937386"
Adam Smith Institute of Management,"11-12, Dainik Bhaskar Building, 2nd Floor, Sector 25Chandigarh, Chandigarh 160022 , India",  (0172) 5081367 9464252146
Adesh Para Medical College,"Chandigarh, Chandigarh  , India"," 9034193228, 8059410073 "
Air Hostess Academy - AHA Chandigarh,"SCO 485-86, 2nd Floor, Sector 35-CChandigarh, Chandigarh 160036 , India","  (0172) 5074635, 5171263 (0172) 5074638"
Animation Live,"SCO 118-120, Top Floor, Sector 34-AChandigarh, Chandigarh 160017 , India",  (0172) 4371777 9501345678
Anovus Institute of Clinical Research,"Swami Ram Tirath Cultural Centre, Plot No. 28-29, Daksin Marg, Opposite Batra Theatre, Sector 24-CChandigarh, Chandigarh 160036 , India","  (0172) 2726730 9814000720, 9316121000"
Anupam Kher's Actor Prepares - The School for Actors,"Government Industrial Training Institute for Women, Sector 11-CChandigarh, Chandigarh 160011 , India", 
Apex Business School,"SCO 165, Sector 38-CChandigarh, Chandigarh 160036 , India",  (0172) 4648700 9356505001
Appin Technology Lab,"SCO 1126-27, 2nd Floor, Sector 22-BChandigarh, Chandigarh 160022 , India",  (0172) 5045323 9041244509
Arena Animation,"SCO 186-188, 4th Floor, Sector 17-CChandigarh, Chandigarh 160017 , India","  (0172) 27112812 9876186188, 9872546753"
Auscan Academy of Information Technology - AAIT,"SCO 94-95, 4th Floor, Sector 34-AChandigarh, Chandigarh 160022 , India","  (0172) 2646400, 5087637 "
AVI School of Fashion and Shoe Technology - ASFST,"SCO 493-94, 2nd Floor, Sector 35-C 	

Chandigarh, Chandigarh  , India",  (0172) 2602997
Bhavan's Dayanand College of Communication and Management,"Plot No.5, Sector 27-B, Madhya MargChandigarh, Chandigarh  , India","  (0172) 2656031, 2638540 (0172) 2653832"
Bhavik College of Management and Information Technology,"SCO 829, Top Floor, Chandigarh-Kalka Road, NAC ManimajraChandigarh, Chandigarh 160009 , India",  (0172) 4634759 
Big Boxx Academy,"SCO 146-147, Basement, Sector 34-AChandigarh, Chandigarh 160034 , India","  (0172) 4612244 8427023322, 8427123322"
Brahmrishi Yoga Training College,"Sector 19-A, Madhya MargChandigarh, Chandigarh 160019 , India",  (0172) 2725390 
Central Scientific Instruments Organization,"Sector 30-CChandigarh, Chandigarh 160030 , India"," (0172) 2657267, 2657082 Institute Website"
Chandigarh College of Architecture - CCA,"Sector 12Chandigarh, Chandigarh 160012 , India","  (0172) 2740558, 2740685, 2740689 (0172) 2740686"
Chandigarh College of Engineering and Technology - CCET,"Sector 26Chandigarh, Chandigarh 160019 , India","  (0172) 2750872, 2750943, 2750947 (0172) 2750872"
Chandigarh Infosys Computer Institute,"SCO 199, Sector 45Chandigarh, Chandigarh 160047 , India",  (0172) 5025416 
Chandigarh Institute of Film and Television,"Sector 21-AChandigarh, Chandigarh 160022 , India", 9872547221 
Chandigarh Institute of Hotel Management and Catering Technology - CIHMCT,"Sector 42-DChandigarh, Chandigarh 160036 , India",  (0172) 2676024 
Chitkara School of Health Sciences,"SCO 160-161, Sector 9-CChandigarh, Chandigarh 160009 , India","  () (Toll Free 1800-267-1999) 9501105714, 9501105715"
Chitkara School of Hospitality - CSH,"SCO 160-161, Sector 9-CChandigarh, Chandigarh 160009 , India","  (0172) 4090900, (Toll Free:-1800-267-1999) 9501105714, 9501105715"
Chitkara School of Mass Communication,"SCO 160-161, Sector 9-CChandigarh, Chandigarh 160009 , India","  (0172) 4090900, Toll Free:- (1800-267-1999) 9501105714, 9501105715"
DAV College,"Sector 10Chandigarh, Chandigarh 160011 , India","  (0172) 2743980, 2742609, 2744046, 2741708 (0172) 2742854"
Day and Night Media Institute,"177-F, Purv Marg, Industrial Area- IChandigarh, Chandigarh 160002 , India","  (0172) 5043700, 5043701, 5043702 9779580017, 9878854550"
Dev Samaj College for Women,"Sukhna Path, Sector 45-BChandigarh, Chandigarh 160047 , India","  (0172) 2603497, 2648502 (0172) 2602502"
Dev Samaj College of Education,"Sector 36-BChandigarh, Chandigarh 160036 , India",  (0172) 2603241 (0172) 2603652
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,"Sector 42-DChandigarh, Chandigarh 160036 , India","  (0172) 2604833, 2676015 (0172) 2611956"
Fire Box Animation Studio,"SCO 118-119-120, 4th Floor, Sector 34-AChandigarh, Chandigarh 160022 , India",  (0172) 4607660 9815780060
Footwear Design and Development Institute - FDDI Chandigarh,"NH-7, Chandigarh-Patiala Highway, Near ITI, Banur, Distt. S.A.S. Nagar, Mohali (Near Chandigarh)Chandigarh, Chandigarh 140601 , India"," 9888775899, 9896100083 "
Frameboxx Animation and Visual Effects,"SCO- 230-231, First Floor, Sector 34-AChandigarh, Chandigarh 160022 , India","  (0172) 2621330, 2622620 9914226227"
Frankfinn Institute of Air Hostess Training - FIAT,"SCO 118-120, First Floor, Sector 34-AChandigarh, Chandigarh 160034 , India","  (0172) 2624714, 2624715, 2624716 "
Friendmile Software,"SCO 10-12, Sector 17-BChandigarh, Chandigarh  , India",  (0172) 5070113 9876130113
Gecko Animation Studios,"SCO 110-111, 2nd Floor, Sector 34-A 
Chandigarh, Chandigarh 160034 , India",  (0172) 5003060 
Global Retail School - GRS,"SCO 68-69, Sector 8-C, Madhya MargChandigarh, Chandigarh 160009 , India","  (0172) 6571095, 6572095 "
Goswami Ganesh Dutt Sanatan Dharam College - GGDSD,"Sector 32-CChandigarh, Chandigarh 160030 , India","  (0172) 2662816, 4912400, 4912401, 4912402, 4912403 - Admission (0172) 2661077"
Government College of Art,"Jan Marg, Sector 10-C, Near Government Museum and Art GalleryChandigarh, Chandigarh 160011 , India",  (0172) 2740309 
Government College of Commerce and Business Administration - GCCBA,"Sector 50Chandigarh, Chandigarh  , India","  (0172) 2673394, 2674319, 2673266 "
Government College of Education,"Sector 20-DChandigarh, Chandigarh 160020 , India","  (0172) 2700075, 2784182 "
Government College of Yoga Education and Health,"Sector 23-AChandigarh, Chandigarh 160023 , India",  (0172) 2700378 
Government Home Science College,"Sector 10-DChandigarh, Chandigarh 160011 , India",  (0172) 2740387 
Government Medical College and Hospital - GMCH,"Sector 32Chandigarh, Chandigarh 160031 , India","  (0172) 2601023, 2601024, 2663301 (0172) 2609360, 2608488"
Government Rehabilation Institute for Intellectual Disabiliites - GRIID,"Sector 31-CChandigarh, Chandigarh 160047 , India",  (0172) 2637361 Institute Website
Government Rehabilitation Institute for Intellectual Disabilities - GRIID,"Sector 31-CChandigarh, Chandigarh  , India","  (0172) 2637349, 2637361, 2637396 9914729155"
Guru Gobind Singh College for Women,"Secter 26
Chandigarh, Chandigarh 160026 , India","  (0172) 2792757, 2791610 (0172) 2795934"
Haryana Institute of Civil Aviation - HICA,"30 Bays Building, 3rd Floor, Sector 17BChandigarh, Chandigarh 160017 , India",  (0172) 5049174 
Homoeopathic Medical College and Hospital,"M-671, Sukhna Path, Sector 26Chandigarh, Chandigarh 160019 , India","  (0172) 2791760, 6621502 "
Imperial Institute of Hotel Management,"SCO-811, First and 2nd Floor, Near Fun Republic (Dhillon Theatre)Chandigarh, Chandigarh 160101 , India",  (0172) 5077990 (0172) 5007990
Indian Council of Astrological Sciences - ICAS,"Sharda Sharvhitkari Sr. Secondary School, Sector 40-DChandigarh, Chandigarh 160036 , India"," 9417587333, 9888394639, 9872116677 "
Indian Institute of Astrology - IIA,"SCF- 7F, Sector 27Chandigarh, Chandigarh 160019 , India","  (0172) 5015432 9779200432 , 9041414411"
Indian Institute of Fashion and Design - IIFD Chandigarh,"SCO 479-480, Second Floor, Sector 35-CChandigarh, Chandigarh 160035 , India",  (0172) 4007918 9041766699
Indian Institute of Vedic Astrology - IIVA,"Chandigarh, Chandigarh 160019 , India"," 9888218836, 9417248599 "
Indian National Portage Association - INPA,"Karuna Sadan, First Floor, Room No. 14-15, Sector 11-BChandigarh, Chandigarh 160011 , India","  (0172) 2749994, 2600951 (0172) 2749994"
Indian School of Business Management and Administration - ISBM Chandigarh,"SCO-271, Sector 32-DChandigarh, Chandigarh 160032 , India"," 9109956511, 9109956519 "
Indira Gandhi Institute of Aeronautics - IGIA,"SCO-112-113, 4th Floor, (Adjoining Catholic Syrian Bank), Sector 34-AChandigarh, Chandigarh 160022 , India",  (0172) 5009299 
Indo-Swiss Training Centre - ISTC,"CSIO, Sector 30-CChandigarh, Chandigarh 160030 , India","  (0172) 2657264, 2657263 (0172) 2657264"
Institute of Creative Excellence - ICE,"SCO 186-188, IV Floor, Sector 17-CChandigarh, Chandigarh 160017 , India", 9872546753 Institute Website
Institute of Disaster Management and Fire Science - IDMFS,"SR 459, Level-2, PNB Bank Road, 
Near Bus Stand, MaloyaChandigarh, Chandigarh 160025 , India"," 9915327336, 9257232425, 9876951171 "
Institute of Fine Arts - IFA,"SCO 103, 2nd Floor, Sector 40-CChandigarh, Chandigarh 160009 , India","  (0172) 2266920 9872822690, 7508704248"
Institute of Fire Engineering and Safety Management - NIFS,"SCO No. 283, 2nd Floor, Motor Market, ManimajraChandigarh, Chandigarh 160101 , India",  (0172) 4633662 9023133687
Institute of Microbial Technology,"Sector 39-AChandigarh, Chandigarh 160036 , India","  (0172) 2690785, 2690684 (0172) 2690585, 2690132"
Institute of Sikh Studies,"Industrial Area Phase-II, Tribune Road, Inside Gurudwara, Tribune RoadChandigarh, Chandigarh 160002 , India","  (0172) 2642580, 2642581 (0172) 2642581"
Inter National Institute of Fashion Design - INIFD Chandigarh,"NIFD House, SCO 32-33-34-35, Sector 8-C, Madhya MargChandigarh, Chandigarh 160009 , India","  (0172) 2784980, 2784981 9216236222"
International Fashion Design Academy - IFDA,"SCO- 64-65, First Floor, Sector 34-AChandigarh, Chandigarh 160022 , India",  (0172) 4788242 9216609009
International Institute of Fashion Technology - IIFT Chandigarh,"SCO 23-24-25, 3rd Floor, Near Passport Office, Sector 34-AChandigarh, Chandigarh 160022 , India","  (0172) 4001100, 4379988, 4646404 9876510140"
International Travel and Tourism Academy,"Chandigarh, Chandigarh 160047 , India","  (0172) 5052939 9876552277, 9779901390"
J.D. Institute of Fashion Technology Chandigarh,"SCO No. 455-456, Sector 35-CChandigarh, Chandigarh 160022 , India","  (0172) 5077048, 5018324"
Jewellery Design and Technology Insitute - JDTI,"SCO No. 409-410, Sector 35-CChandigarh, Chandigarh 160023 , India",  (0172) 5076444 
Kuoni Academy,"S.C.O. 134-136, 2nd Floor, Sector 34-AChandigarh, Chandigarh 160022 , India",  (0172) 4347110
Lakme Academy,"2nd Floor, SCO 87-88, Sector 34-AChandigarh, Chandigarh 160022 , India",  (0172) 4039500 8146377177
